epoch,gradient_magnitude
0,0.03562509207738601
1,0.00174833962078447
2,0.002151471378167615
3,0.0013523145196431515
4,0.0018841038501515508
5,0.0028044160499947545
6,0.0018577699872458792
7,0.002200937015406304
8,0.0018765170996119863
9,0.002240076530127092
10,0.0016901141560139183
11,0.0017864230624058091
12,0.0018001115127261353
13,0.002225508168378112
14,0.003189672934700359
15,0.0028347415704939338
16,0.0014224029457700863
17,0.002942993640386669
18,0.0026227708925208016
19,0.003577459228722815
20,0.0027660042605760038
21,0.0037708295440337155
22,0.0017639930850372359
23,0.0024354928515423983
24,0.005021144193137008
25,0.003159625848533858
26,0.0019322801826950117
27,0.00280108747465019
28,0.0021262994782272784
29,0.0025373396942185216
30,0.0026802786163643635
31,0.0019546681868199828
32,0.0015542127028735661
33,0.0025470382999756556
34,0.002612559883883857
35,0.003110357872146512
36,0.0027227225645588575
37,0.0031643372663510577
38,0.0019477958138929927
39,0.002341511872715174
40,0.0019724749442766795
41,0.0035452251798879647
42,0.002697729450847722
43,0.003723575835134898
44,0.00198181219915903
45,0.0016419527309084326
46,0.0030943572547546825
47,0.0018851148854842766
48,0.002284919269122707
49,0.0039975615512923965
50,0.0016335720117977893
51,0.0023793107300946236
52,0.0017892141222742687
53,0.002230814308284214
54,0.002852351382853293
55,0.003613881944233447
56,0.0012505786111413758
57,0.002312490511406483
58,0.0025300426019795753
59,0.001710591203024633
60,0.0017596609236065874
61,0.0032940435304846987
62,0.001973807548474403
63,0.0023546744783096603
64,0.0020124878321319973
65,0.003262349969022029
66,0.0038537730927334975
67,0.0018274201941756371
68,0.003973362661584483
69,0.0028636692839025426
70,0.0024782896912926666
71,0.002705142985551748
72,0.003435806491189827
73,0.004116519796203821
74,0.0033669972841186002
75,0.0014994519077294907
76,0.003448381377779687
77,0.003958931736747511
78,0.0023765061472191882
79,0.0015724657741574637
80,0.002006363019497493
81,0.002290489209717464
82,0.001660833788384265
83,0.0029503242408668133
84,0.002420778991672915
85,0.0020731696257526412
86,0.0031772742028762027
87,0.002362012267046894
88,0.0025080526227422508
89,0.0022660597997331685
90,0.0020293832733533812
91,0.0015956550079741236
92,0.002068970165164021
93,0.0012957848329545041
94,0.001418490014034558
95,0.004145932335372326
96,0.0017139416523920497
97,0.0036092428932218163
98,0.0015454999416049688
99,0.0016229316292176658
