epoch,gradient_magnitude
0,0.004383184562870728
1,0.0009898381312673254
2,0.0008696249669324298
3,0.0012132437078509486
4,0.0023472857482607955
5,0.0017057122580656926
6,0.0022228118990273125
7,0.0013827055792584534
8,0.0016751409305923047
9,0.0016875261946674755
10,0.0024971938953662347
11,0.002075774496961608
12,0.003521525065049289
13,0.0020540529878625043
14,0.002324589526204768
15,0.001692407920951435
16,0.001987118674632867
17,0.003504289664931923
18,0.0031063334181852067
19,0.0023478604533614922
20,0.0019779405960117288
21,0.0030261435237696056
22,0.0024912844210656176
23,0.0028797883225253817
24,0.0021334516104471943
25,0.002058459467933852
26,0.0025765551305372896
27,0.002558972210503303
28,0.0027399699143727248
29,0.0036698459613051996
30,0.0023855382941685224
31,0.003937184619067385
32,0.002427359148784668
33,0.002422527789561452
34,0.002805429463655265
35,0.0037968447640158417
36,0.0027076737167886548
37,0.003120109250337808
38,0.002486766428353197
39,0.0031313575990319204
40,0.0037734450803677193
41,0.0031298209408031296
42,0.0040149639133114125
43,0.0038196128753376192
44,0.0029910822709500076
45,0.0038597281217229843
46,0.004088234429059196
47,0.002525619797380167
48,0.0024448771192485427
49,0.003497263346090562
