epoch,gradient_magnitude
0,0.0024717307635561663
1,0.0021482916821660516
2,0.004315085312437346
3,0.00392677652880215
4,0.002220405600207687
5,0.0028453380180281187
6,0.002194401478942385
7,0.0030011996141886413
8,0.003899274228292258
9,0.003347353872387321
10,0.0035215746688935633
11,0.002801445211126139
12,0.0037587492657471574
13,0.001443661598801229
14,0.0015609253878036723
15,0.002820394235061643
16,0.00177742260555517
17,0.0015082753620144624
18,0.0018000708290007528
19,0.0013980894461057174
20,0.0012999823434668315
21,0.001386213363317503
22,0.003409935569403597
23,0.0016724150211756543
24,0.002007805903797837
25,0.0014086164202746195
26,0.0012885307988365973
27,0.0011626256741168587
28,0.0017706834385907216
29,0.0017565717827410909
30,0.0012743223882438598
31,0.0019685712091308647
32,0.0012810130056938437
33,0.001673888353961159
34,0.0017278284724621758
35,0.001312792269899142
36,0.0014115785247121226
37,0.002487234422015134
38,0.0013913749847568992
39,0.0016215495173153263
40,0.0016845023987225739
41,0.0021421680010532736
42,0.0016941762867399182
43,0.0015509379400702333
44,0.0010846463022453922
45,0.0018068880747527623
46,0.0006519942444561352
47,0.0008776848965903416
48,0.0010800380953369909
49,0.0021775377194632284
