[0.000000] (-) TimerEvent: {}
[0.000957] (config_files) JobQueued: {'identifier': 'config_files', 'dependencies': OrderedDict()}
[0.000999] (gazebo_envs) JobQueued: {'identifier': 'gazebo_envs', 'dependencies': OrderedDict()}
[0.001026] (justina_description) JobQueued: {'identifier': 'justina_description', 'dependencies': OrderedDict()}
[0.001048] (justina_gui) JobQueued: {'identifier': 'justina_gui', 'dependencies': OrderedDict()}
[0.001068] (simple_move) JobQueued: {'identifier': 'simple_move', 'dependencies': OrderedDict()}
[0.001087] (uf_ros_lib) JobQueued: {'identifier': 'uf_ros_lib', 'dependencies': OrderedDict()}
[0.001107] (xarm_description) JobQueued: {'identifier': 'xarm_description', 'dependencies': OrderedDict()}
[0.001126] (xarm_msgs) JobQueued: {'identifier': 'xarm_msgs', 'dependencies': OrderedDict()}
[0.001145] (xarm_sdk) JobQueued: {'identifier': 'xarm_sdk', 'dependencies': OrderedDict()}
[0.001165] (xarm_api) JobQueued: {'identifier': 'xarm_api', 'dependencies': OrderedDict({'xarm_description': '/home/christopher/Mobile-Robots-2026-1/install/xarm_description', 'xarm_msgs': '/home/christopher/Mobile-Robots-2026-1/install/xarm_msgs', 'xarm_sdk': '/home/christopher/Mobile-Robots-2026-1/install/xarm_sdk'})}
[0.001190] (xarm_controller) JobQueued: {'identifier': 'xarm_controller', 'dependencies': OrderedDict({'xarm_description': '/home/christopher/Mobile-Robots-2026-1/install/xarm_description', 'xarm_msgs': '/home/christopher/Mobile-Robots-2026-1/install/xarm_msgs', 'xarm_sdk': '/home/christopher/Mobile-Robots-2026-1/install/xarm_sdk', 'xarm_api': '/home/christopher/Mobile-Robots-2026-1/install/xarm_api'})}
[0.001216] (xarm_description) JobStarted: {'identifier': 'xarm_description'}
[0.019963] (xarm_msgs) JobStarted: {'identifier': 'xarm_msgs'}
[0.038045] (xarm_description) JobProgress: {'identifier': 'xarm_description', 'progress': 'cmake'}
[0.038972] (xarm_description) JobProgress: {'identifier': 'xarm_description', 'progress': 'build'}
